TT,C0,beta,ETF,FC,FRAC,K2
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
8.614304453831974628e-01,1.243597568447196489e+00,2.080630904893002064e+00,9.350140112158416006e-01,2.203937527554155054e+02,1.000000000000000056e-01,2.616819854730991282e-02
