Test_Name, Test_Case, RMSE_Mean, RMSE_Max, MAE_Mean, MAE_Max, Time
hardboundaries,False,12.188533580729212,12.84169508650761,5.124331456182391,5.63928340287813,325.5853171348572
hardboundaries,True,12.342374851035126,12.566026370888231,5.182488116588292,5.354964077766755,330.5988669395447
crossover_burnin,None,12.395872977304096,12.543694044163018,5.170381821220549,5.371922935346111,333.43879199028015
crossover_burnin,0.1,12.340261357802534,12.574980355463538,5.191934154797282,5.297922540176472,294.4551649093628
crossover_burnin,0.2,12.340843219785443,13.009261346552348,5.176435319031792,5.530273687520636,292.5750846862793
crossover_burnin,0.5,12.32691204789795,12.530313357386493,5.151655174524045,5.228283526970741,294.7195680141449
adapt_crossover,False,12.351359164237495,12.568347952726633,5.147903905228646,5.215512187663842,337.8331620693207
adapt_crossover,True,12.341256062504767,12.695849576076135,5.166431795783425,5.271352853577113,337.1627690792084
nCR,1,12.35428452080605,12.546312775106626,5.179511767320515,5.215081472822055,337.0586030483246
nCR,3,12.389319360288601,12.897085671555464,5.199022732253334,5.52040705921962,338.65465807914734
nCR,5,12.360996978659083,12.629840668283911,5.160319774186942,5.331690397036221,337.04708909988403
